,Ad_ID,Body Shape,Car Status,Condition,Engine Capacity,Model,Transmission,Year,brand,price,Mileage,1400,3000,2000,1300,1600,Travel Range,1500,1200,Fuel Type,check,expand_less,5700,4400,1100,4000,1000,3200,3400
1413,https://www.contactcars.com/en/newcars4sale/hyundai/accent-rb/76827a6b7aec4cff8dc8624de4e5de7e-2024?status=New?dealer=1519449,Sedan,New,New,1600,Accent,Automatic,RB,Hyundai,"200,000",,,,,,,,,,,,,,,,,,,
1414,https://www.contactcars.com/en/usedcars/chevrolet/optra/0a3e6fca0e5d44f6aa885278ba70442a-2018?status=Used,Sedan,,Sedan,1500,Optra,Automatic,2018,Chevrolet,"385,000","148,000",,,,,,,,,,,,,,,,,,
1415,https://www.contactcars.com/en/newcars4sale/range-rover/-sport/7db8a4862dd048f5aa2e8316b74e6595-2023?status=New,SUV,New,New,3000,Rover,Automatic,Sport,Range,"10,700,000",,,,,,,,,,,,,,,,,,,
1416,https://www.contactcars.com/en/newcars4sale/range-rover/-sport/bf25056a4e9648a69ef955ea85c61f90-2023?status=New?dealer=1519412,SUV,New,New,,Rover,Automatic,Sport,Range,"5,000,000",,,Gas,,,,,,,,,,,,,,,,
1417,https://www.contactcars.com/en/usedcars/mercedes/cla-200/981a4eb4fabf4c78bcd1e36a808567af-2022?status=Used,Sedan,,Sedan,1300,CLA,Dual Clutch,200,Mercedes,"2,650,000",500,,,,,,,,,,,,,,,,,,
1418,https://www.contactcars.com/en/newcars4sale/mercedes/glc-200/f34fb34a916d422cb84ba13b683ca6ed-2023?status=New,SUV,New,New,2000,GLC,Automatic,200,Mercedes,"4,150,000",,,,,,,,,,,,,,,,,,,
1419,https://www.contactcars.com/en/usedcars/renault/kadjar/0db26a0402464eaab66bcd18bf1fbb7f-2018?status=Used?dealer=1519277,SUV,,SUV,1200,Kadjar,Automatic,2018,Renault,"930,000","80,000",,,,,,,,,,,,,,,,,,
1420,https://www.contactcars.com/en/usedcars/renault/megane/069dd1593d5a4ece8c2d218289554859-2019?status=Used,Sedan,,Sedan,1600,Megane,Automatic,2019,Renault,"740,000","113,000",,,,,,,,,,,,,,,,,,
1421,https://www.contactcars.com/en/usedcars/opel/corsa/e9a2157eca9c4832baf7ad32fe4ae6a9-2022?status=Used?dealer=1519277,Hatchback,,Hatchback,1200,Corsa,Automatic,2022,Opel,"900,000","40,000",,,,,,,,,,,,,,,,,,
1422,https://www.contactcars.com/en/usedcars/opel/mokka/724b74e449cf4e22a987ef780d0cc2cb-2023?status=Used,SUV,,SUV,1200,Mokka,Automatic,2023,Opel,"1,230,000","3,000",,,,,,,,,,,,,,,,,,
1423,https://www.contactcars.com/en/usedcars/renault/logan-mcv/61dfa34ba5c74b1cb133e74d73dea75b-2016?status=Used,Sedan,,Sedan,1600,Logan,Automatic,MCV,Renault,"375,000","155,000",,,,,,,,,,,,,,,,,,
1424,https://www.contactcars.com/en/usedcars/mg/5/3057b5c47ffa4119b737ce68fee87024-2021?status=Used?dealer=1519495,,,Specifications of Used MG 5 2021,,5,,2021,MG,"675,000",,,,,,,,,,,check,Specifications of Used MG 5 2021,,,,,,,
1425,https://www.contactcars.com/en/usedcars/toyota/corolla/9737450f7ee74cfbbf8dbe341ab45fb3-2020?status=Used,Sedan,,Sedan,1600,Corolla,Automatic,2020,Toyota,"960,000","95,000",,,,,,,,,,,,,,,,,,
1426,https://www.contactcars.com/en/usedcars/hyundai/elantra-ad/ddfbb13f8d04448499db811e5d79f686-2020?status=Used,Sedan,,Sedan,1600,Elantra,Automatic,AD,Hyundai,"800,000","93,700",,,,,,,,,,,,,,,,,,
1427,https://www.contactcars.com/en/usedcars/nissan/sentra/bca300ebb69a44aa9afa8fc3abe1c564-2016?status=Used,Sedan,,Sedan,1600,Sentra,Automatic,2016,Nissan,"570,000","160,000",,,,,,,,,,,,,,,,,,
1428,https://www.contactcars.com/en/newcars4sale/kia/sportage/9e04af340c1d4d70b0dd011e7ca25f3a-2023?status=New,SUV,New,New,1600,Sportage,Automatic,2023,Kia,"1,850,000",,,,,,,,,,,,,,,,,,,
1429,https://www.contactcars.com/en/usedcars/bmw/318i/7738dd4608e749e6a5e787515db541f9-2016?status=Used,Sedan,,Sedan,1500,318i,Automatic,2016,BMW,"1,050,000","126,750",,,,,,,,,,,,,,,,,,
1430,https://www.contactcars.com/en/usedcars/kia/xceed/f9b4265be3894102be1e972a01bee647-2024?status=Used,Hatchback,,Hatchback,1500,Xceed,Automatic,2024,Kia,"1,111,111","1,000",,,,,,,,,,,,,,,,,,
1431,https://www.contactcars.com/en/newcars4sale/bmw/530i/9bac65aca6de4cea962200fc07499489-2023?status=New,Sedan,New,New,2000,530i,Dual Clutch,2023,BMW,"5,100,000",,,,,,,,,,,,,,,,,,,
1432,https://www.contactcars.com/en/usedcars/toyota/corolla/140c94158f614e2d99bd594c57853b8d-1996?status=Used,Sedan,,Sedan,1300,Corolla,Manual,1996,Toyota,"195,000","92,000",,,,,,,,,,,,,,,,,,
1433,https://www.contactcars.com/en/usedcars/hyundai/elantra-ad/727d818a30774fbea665f7d992fde9c4-2018?status=Used,Sedan,,Sedan,1600,Elantra,Automatic,AD,Hyundai,"970,000","85,000",,,,,,,,,,,,,,,,,,
1434,https://www.contactcars.com/en/usedcars/opel/mokka/0cf3c2cae03e40d9bbf6d3ce54f171a8-2016?status=Used,Other,,Other,1400,Mokka,Automatic,2016,Opel,"750,000","90,000",,,,,,,,,,,,,,,,,,
1435,https://www.contactcars.com/en/usedcars/mg/hs/5b6384cc493847e0a90123e1b6f4bc49-2020?status=Used,SUV,,SUV,1500,HS,Automatic,2020,MG,"1,080,000","1,000",,,,,,,,,,,,,,,,,,
1436,https://www.contactcars.com/en/usedcars/bmw/340i/6439cf0aa5df4da0a2c057775f8b1941-2017?status=Used,Sedan,,Sedan,3000,340i,Automatic,2017,BMW,"3,200,000","50,000",,,,,,,,,,,,,,,,,,
1437,https://www.contactcars.com/en/usedcars/hyundai/elantra-ad/dda37f041e894c1b8a2102aca9fc21e5-2018?status=Used,Sedan,,Sedan,1600,Elantra,Automatic,AD,Hyundai,"750,000","152,000",,,,,,,,,,,,,,,,,,
1438,https://www.contactcars.com/en/usedcars/mercedes/c180/b72c5efe7166480f9471f5c0343f28e5-2019?status=Used?dealer=1519463,,,Specifications of Used Mercedes C180 2019,,C180,,2019,Mercedes,"3,000,000",,,,,,,,,,,check,Specifications of Used Mercedes C180 2019,,,,,,,
1439,https://www.contactcars.com/en/newcars4sale/chery/tiggo-3/e6ad15315d3e4539a507582873a0eecd-2023?status=New?dealer=1519463,,,Specifications of New Chery Tiggo 3 2023,,Tiggo,,3,Chery,"720,000",,,,,,,,,,,check,Specifications of New Chery Tiggo 3 2023,,,,,,,
1440,https://www.contactcars.com/en/newcars4sale/hyundai/elantra-hd/1bb98c8f062b4e5badb860444d636c7a-2023?status=New?dealer=1519463,,,Specifications of New Hyundai Elantra HD 2023,,Elantra,,HD,Hyundai,"770,000",,,,,,,,,,,expand_less,Specifications of New Hyundai Elantra HD 2023,,,,,,,
1441,https://www.contactcars.com/en/usedcars/citroen/c5-aircross/4f547d7cdb97476b9214166de71e6a01-2021?status=Used?dealer=1519463,,,Specifications of Used Citroen C5 Aircross 2021,,C5,,Aircross,Citroen,"1,500,000",,,,,,,,,,,check,Specifications of Used Citroen C5 Aircross 2021,,,,,,,
1442,https://www.contactcars.com/en/usedcars/nissan/sunny/e2ad2dbea1594a7d9cdafdeca0d11219-2021?status=Used,Sedan,,Sedan,1500,Sunny,Automatic,2021,Nissan,"530,000","124,000",,,,,,,,,,,,,,,,,,
